algorithm,num_procs,dtype,message_size_bytes,time_stat,time_seconds,algbw_GBps,busbw_GBps,num_reps
mpi-ring,2,float,64,min,4.01e-07,0.159601,0.159601,1000
mpi-ring,2,float,64,mean,5.43544e-07,0.117746,0.117746,1000
mpi-ring,2,float,64,median,5.23e-07,0.122371,0.122371,1000
mpi-ring,2,float,64,max,1.3223e-05,0.00484005,0.00484005,1000
mpi-ring,2,float,64,stddev,4.51505e-07,0.141748,0.141748,1000
mpi-ring,2,float,128,min,3.77e-07,0.339523,0.339523,1000
mpi-ring,2,float,128,mean,5.06496e-07,0.252717,0.252717,1000
mpi-ring,2,float,128,median,4.89e-07,0.261759,0.261759,1000
mpi-ring,2,float,128,max,1.2853e-05,0.00995876,0.00995876,1000
mpi-ring,2,float,128,stddev,3.9352e-07,0.325269,0.325269,1000
mpi-ring,2,float,256,min,4.4e-07,0.581818,0.581818,1000
mpi-ring,2,float,256,mean,6.25506e-07,0.409269,0.409269,1000
mpi-ring,2,float,256,median,5.52e-07,0.463768,0.463768,1000
mpi-ring,2,float,256,max,5.167e-05,0.00495452,0.00495452,1000
mpi-ring,2,float,256,stddev,1.69539e-06,0.150998,0.150998,1000
mpi-ring,2,float,512,min,4.5e-07,1.13778,1.13778,1000
mpi-ring,2,float,512,mean,6.05741e-07,0.845246,0.845246,1000
mpi-ring,2,float,512,median,5.47e-07,0.936015,0.936015,1000
mpi-ring,2,float,512,max,3.7939e-05,0.0134953,0.0134953,1000
mpi-ring,2,float,512,stddev,1.24184e-06,0.41229,0.41229,1000
mpi-ring,2,float,1024,min,6.66e-07,1.53754,1.53754,1000
mpi-ring,2,float,1024,mean,7.76759e-07,1.3183,1.3183,1000
mpi-ring,2,float,1024,median,7.66e-07,1.33681,1.33681,1000
mpi-ring,2,float,1024,max,8.496e-06,0.120527,0.120527,1000
mpi-ring,2,float,1024,stddev,2.47781e-07,4.13268,4.13268,1000
mpi-ring,2,float,2048,min,7.52e-07,2.7234,2.7234,1000
mpi-ring,2,float,2048,mean,8.2501e-07,2.48239,2.48239,1000
mpi-ring,2,float,2048,median,8.2e-07,2.49756,2.49756,1000
mpi-ring,2,float,2048,max,2.581e-06,0.793491,0.793491,1000
mpi-ring,2,float,2048,stddev,6.47309e-08,31.6387,31.6387,1000
mpi-ring,2,float,4096,min,9.94e-07,4.12072,4.12072,1000
mpi-ring,2,float,4096,mean,1.18671e-06,3.45154,3.45154,1000
mpi-ring,2,float,4096,median,1.111e-06,3.68677,3.68677,1000
mpi-ring,2,float,4096,max,1.9522e-05,0.209815,0.209815,1000
mpi-ring,2,float,4096,stddev,8.19071e-07,5.00079,5.00079,1000
mpi-ring,2,float,8192,min,2.666e-06,3.07277,3.07277,1000
mpi-ring,2,float,8192,mean,2.96481e-06,2.76307,2.76307,1000
mpi-ring,2,float,8192,median,2.892e-06,2.83264,2.83264,1000
mpi-ring,2,float,8192,max,2.6183e-05,0.312875,0.312875,1000
mpi-ring,2,float,8192,stddev,9.51227e-07,8.61203,8.61203,1000
mpi-ring,2,float,16384,min,3.437e-06,4.76695,4.76695,1000
mpi-ring,2,float,16384,mean,3.78177e-06,4.33237,4.33237,1000
mpi-ring,2,float,16384,median,3.645e-06,4.49492,4.49492,1000
mpi-ring,2,float,16384,max,3.3569e-05,0.488069,0.488069,1000
mpi-ring,2,float,16384,stddev,1.28623e-06,12.7381,12.7381,1000
mpi-ring,2,float,32768,min,4.503e-06,7.27693,7.27693,1000
mpi-ring,2,float,32768,mean,5.11467e-06,6.40667,6.40667,1000
mpi-ring,2,float,32768,median,4.7945e-06,6.8345,6.8345,1000
mpi-ring,2,float,32768,max,0.000115742,0.283112,0.283112,1000
mpi-ring,2,float,32768,stddev,3.91778e-06,8.36393,8.36393,1000
mpi-ring,2,float,65536,min,6.809e-06,9.62491,9.62491,1000
mpi-ring,2,float,65536,mean,7.59177e-06,8.63251,8.63251,1000
mpi-ring,2,float,65536,median,7.0645e-06,9.27681,9.27681,1000
mpi-ring,2,float,65536,max,0.000110712,0.59195,0.59195,1000
mpi-ring,2,float,65536,stddev,5.5235e-06,11.8649,11.8649,1000
mpi-ring,2,float,131072,min,9.152e-06,14.3217,14.3217,1000
mpi-ring,2,float,131072,mean,1.03914e-05,12.6135,12.6135,1000
mpi-ring,2,float,131072,median,9.725e-06,13.4778,13.4778,1000
mpi-ring,2,float,131072,max,0.000136622,0.959377,0.959377,1000
mpi-ring,2,float,131072,stddev,5.34059e-06,24.5426,24.5426,1000
mpi-ring,2,float,262144,min,1.6483e-05,15.9039,15.9039,1000
mpi-ring,2,float,262144,mean,1.83097e-05,14.3172,14.3172,1000
mpi-ring,2,float,262144,median,1.7449e-05,15.0234,15.0234,1000
mpi-ring,2,float,262144,max,9.2604e-05,2.83081,2.83081,1000
mpi-ring,2,float,262144,stddev,4.4876e-06,58.4152,58.4152,1000
mpi-ring,2,float,524288,min,3.1037e-05,16.8924,16.8924,1000
mpi-ring,2,float,524288,mean,3.42509e-05,15.3073,15.3073,1000
mpi-ring,2,float,524288,median,3.2845e-05,15.9625,15.9625,1000
mpi-ring,2,float,524288,max,0.000129494,4.04874,4.04874,1000
mpi-ring,2,float,524288,stddev,6.94509e-06,75.4905,75.4905,1000
mpi-ring,2,float,1048576,min,6.244e-05,16.7933,16.7933,1000
mpi-ring,2,float,1048576,mean,6.85736e-05,15.2913,15.2913,1000
mpi-ring,2,float,1048576,median,6.558e-05,15.9893,15.9893,1000
mpi-ring,2,float,1048576,max,0.000180349,5.81415,5.81415,1000
mpi-ring,2,float,1048576,stddev,9.68734e-06,108.242,108.242,1000
mpi-ring,2,float,2097152,min,0.000135948,15.4261,15.4261,1000
mpi-ring,2,float,2097152,mean,0.000151056,13.8833,13.8833,1000
mpi-ring,2,float,2097152,median,0.000143737,14.5902,14.5902,1000
mpi-ring,2,float,2097152,max,0.000376194,5.57466,5.57466,1000
mpi-ring,2,float,2097152,stddev,2.07264e-05,101.182,101.182,1000
mpi-ring,2,float,4194304,min,0.000271311,15.4594,15.4594,988
mpi-ring,2,float,4194304,mean,0.000303718,13.8099,13.8099,988
mpi-ring,2,float,4194304,median,0.000293129,14.3087,14.3087,988
mpi-ring,2,float,4194304,max,0.000506436,8.282,8.282,988
mpi-ring,2,float,4194304,stddev,3.39597e-05,123.508,123.508,988
mpi-ring,2,float,8388608,min,0.000651722,12.8715,12.8715,336
mpi-ring,2,float,8388608,mean,0.000894167,9.38148,9.38148,336
mpi-ring,2,float,8388608,median,0.000850326,9.86517,9.86517,336
mpi-ring,2,float,8388608,max,0.00179998,4.66039,4.66039,336
mpi-ring,2,float,8388608,stddev,0.000169421,49.5134,49.5134,336
mpi-ring,2,float,16777216,min,0.00233993,7.16996,7.16996,109
mpi-ring,2,float,16777216,mean,0.00277811,6.03908,6.03908,109
mpi-ring,2,float,16777216,median,0.00275032,6.1001,6.1001,109
mpi-ring,2,float,16777216,max,0.00332879,5.04003,5.04003,109
mpi-ring,2,float,16777216,stddev,0.000228503,73.4223,73.4223,109
mpi-ring,2,float,33554432,min,0.00539037,6.22488,6.22488,52
